epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,51383.7,0.74317,0.7861,0.9873,0.66423,0.0678316,0.000994898,0.000994898
2,62561.1,0.65097,0.7879,0.9864,0.63481,0.0354872,0.00198385,0.00198385
3,63101.5,0.70977,0.7952,0.9883,0.60819,0.003099,0.00292894,0.00292894
4,63633.8,0.66519,0.7826,0.9845,0.63693,0.00285286,0.00285286,0.00285286
5,64163.9,0.59324,0.7614,0.966,0.78318,0.00274217,0.00274217,0.00274217
6,64998.3,0.56404,0.8256,0.9909,0.50645,0.00260459,0.00260459,0.00260459
7,66596.9,0.53606,0.8483,0.9926,0.4466,0.00244351,0.00244351,0.00244351
8,67209.2,0.49535,0.8716,0.9955,0.37055,0.00226289,0.00226289,0.00226289
9,68181,0.47373,0.8764,0.9954,0.37095,0.00206717,0.00206717,0.00206717
10,68747.7,0.44944,0.8831,0.997,0.34425,0.00186119,0.00186119,0.00186119
11,69613.6,0.4163,0.8984,0.9971,0.29573,0.00165,0.00165,0.00165
12,70288.3,0.39085,0.8959,0.9976,0.30199,0.00143881,0.00143881,0.00143881
13,70984.6,0.35294,0.9188,0.9986,0.23953,0.00123283,0.00123283,0.00123283
14,71623,0.32984,0.9257,0.9989,0.2116,0.00103711,0.00103711,0.00103711
15,72226.4,0.29634,0.9292,0.9992,0.2042,0.00085649,0.00085649,0.00085649
16,72847.7,0.2615,0.9377,0.9993,0.18243,0.000695406,0.000695406,0.000695406
17,73490.7,0.23916,0.9401,0.9994,0.16983,0.000557827,0.000557827,0.000557827
18,76210.8,0.21704,0.9449,0.9992,0.15948,0.000447141,0.000447141,0.000447141
19,78190.2,0.20202,0.9487,0.9996,0.15299,0.000366074,0.000366074,0.000366074
20,78770.7,0.18447,0.9496,0.9993,0.14689,0.000316621,0.000316621,0.000316621
